"id","city","temperature","humidity","pressure","wind_speed","wind_direction","rain","snow","cloudiness","visibility","description","condition_type","timestamp"
"181","Samarinda","25.35","88","1012","0.53","285","0","0","100","10000","overcast clouds","Clouds","2024-11-01 23:09:10"
"182","Samarinda","27.95","75","1013","0.54","353","0","0","100","10000","overcast clouds","Clouds","2024-11-02 00:09:10"
"183","Samarinda","30.14","66","1013","1.02","20","0","0","100","10000","overcast clouds","Clouds","2024-11-02 01:09:10"
"184","Samarinda","32.21","56","1012","1.16","26","0","0","100","10000","overcast clouds","Clouds","2024-11-02 02:09:10"
"185","Samarinda","33.78","49","1011","1.13","25","0","0","100","10000","overcast clouds","Clouds","2024-11-02 03:09:10"
"186","Samarinda","33.17","53","1010","1.08","20","0.34","0","100","10000","light rain","rain","2024-11-02 04:09:12"
"187","Samarinda","31.18","62","1009","0.48","350","0.3","0","100","10000","light rain","rain","2024-11-02 05:09:10"
"188","Samarinda","30","73","1009","0.84","116","1.02","0","100","10000","moderate rain","rain","2024-11-02 06:09:11"
"189","Samarinda","28.99","81","1008","1.11","156","1.12","0","100","10000","moderate rain","rain","2024-11-02 07:09:11"
"190","Samarinda","28.13","85","1008","1.22","163","0.72","0","100","10000","light rain","rain","2024-11-02 08:09:14"
"191","Samarinda","26.88","90","1009","1.16","157","0.92","0","100","10000","light rain","rain","2024-11-02 09:09:10"
"192","Samarinda","25.38","94","1010","1.13","161","0.4","0","100","10000","light rain","rain","2024-11-02 10:09:11"
"193","Samarinda","24.84","95","1011","0.92","140","0.44","0","100","10000","light rain","rain","2024-11-02 11:09:10"
"194","Samarinda","24.54","96","1011","1.08","121","0.21","0","100","10000","light rain","rain","2024-11-02 12:09:11"
"195","Samarinda","24.33","97","1011","1.09","111","0","0","100","10000","overcast clouds","Clouds","2024-11-02 13:09:10"
"196","Samarinda","24.2","96","1011","1.09","104","0","0","100","10000","overcast clouds","Clouds","2024-11-02 14:09:13"
"197","Samarinda","24.1","96","1011","0.99","102","0","0","100","10000","overcast clouds","Clouds","2024-11-02 15:09:11"
"198","Samarinda","23.93","96","1011","0.77","91","0","0","100","10000","overcast clouds","Clouds","2024-11-02 16:09:16"
"199","Samarinda","23.8","97","1010","0.37","66","0","0","100","10000","overcast clouds","Clouds","2024-11-02 17:09:10"
"200","Samarinda","23.56","98","1009","0.19","118","0","0","100","10000","overcast clouds","Clouds","2024-11-02 18:09:09"
"201","Samarinda","23.46","98","1009","0.43","162","0","0","100","10000","overcast clouds","Clouds","2024-11-02 19:09:09"
"202","Samarinda","23.36","98","1009","0.22","167","0","0","91","10000","overcast clouds","Clouds","2024-11-02 20:09:09"
"203","Samarinda","23.08","99","1010","0.31","293","0.98","0","88","10000","light rain","rain","2024-11-02 21:09:09"
